node_count,target_rps,repeats,accepted_mean,accepted_std,completed_mean,completed_std,succeeded_mean,succeeded_std,failed_mean,failed_std,inflight_mean,inflight_std,completed_rps_mean,completed_rps_std,latency_avg_ms_mean,latency_avg_ms_std,latency_p50_ms_mean,latency_p50_ms_std,latency_p95_ms_mean,latency_p95_ms_std,latency_p99_ms_mean,latency_p99_ms_std,k6_http_reqs_mean,k6_http_reqs_std,k6_http_req_failed_rate_mean,k6_http_req_failed_rate_std,k6_dropped_iterations_mean,k6_dropped_iterations_std,k6_http_req_duration_avg_ms_mean,k6_http_req_duration_avg_ms_std,k6_http_req_duration_p95_ms_mean,k6_http_req_duration_p95_ms_std,k6_http_req_duration_p99_ms_mean,k6_http_req_duration_p99_ms_std
16,1.0,3,60.666666666666664,0.5773502691896257,58.333333333333336,3.7859388972001824,58.333333333333336,3.7859388972001824,0.0,0.0,2.3333333333333335,4.041451884327381,0.7909806043758529,0.385965503633698,41452.919803683464,70948.77906866714,41165.0,70827.09221759708,52125.666666666664,87300.2810209299,52993.333333333336,87853.65861666395,60.666666666666664,0.5773502691896257,0.0,0.0,0.0,0.0,3.8338921626593807,1.6958640747475144,4.738788283333333,2.0668526126293796,0.0,0.0
16,2.0,3,121.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,1.666323240739467,0.56977379464347,3614.198347107438,5233.22319732857,357.0,198.4263087395419,22346.666666666668,35561.78384633332,23764.666666666668,37501.79206829099,121.0,0.0,0.0,0.0,0.0,0.0,2.501655159779614,0.15191508913316343,3.1741413333333335,0.16218369272628283,0.0,0.0
16,5.0,3,300.3333333333333,0.5773502691896257,300.3333333333333,0.5773502691896257,300.3333333333333,0.5773502691896257,0.0,0.0,0.0,0.0,3.570394729065031,2.3751760804079503,84915.07603912883,145635.7687901563,96972.33333333333,166748.57636973498,111968.33333333333,190652.66411548865,116898.0,197647.24715259759,300.3333333333333,0.5773502691896257,0.0,0.0,0.0,0.0,1.9370620028128473,0.1389225875385394,2.4497046333333334,0.2661237501999084,0.0,0.0
16,10.0,3,600.6666666666666,0.5773502691896257,600.6666666666666,0.5773502691896257,600.6666666666666,0.5773502691896257,0.0,0.0,0.0,0.0,9.239887670980023,0.4048025889368227,6766.620408578295,4956.631501486903,6001.0,4426.222317055482,14272.666666666666,9983.01789707568,17794.333333333332,12463.76397134242,600.6666666666666,0.5773502691896257,0.0,0.0,0.0,0.0,1.7591043151349606,0.1661335755373729,2.5013906666666665,0.5802218281039878,0.0,0.0
16,20.0,3,1200.3333333333333,0.5773502691896257,1200.3333333333333,0.5773502691896257,1200.3333333333333,0.5773502691896257,0.0,0.0,0.0,0.0,14.062083616225038,1.3447466881105061,30714.138017161626,5110.39348122622,30969.0,5605.559472523684,51157.333333333336,6813.4540677495825,59700.666666666664,9641.05410903462,1200.3333333333333,0.5773502691896257,0.0,0.0,0.0,0.0,1.544715209917199,0.21466213099431478,2.513298783333333,0.5734591746458385,0.0,0.0
16,40.0,3,2400.6666666666665,0.5773502691896257,2400.6666666666665,0.5773502691896257,2400.6666666666665,0.5773502691896257,0.0,0.0,0.0,0.0,11.619628193679754,7.10836411573751,212884.1223373363,136704.22474509783,216629.0,139751.375975337,240886.0,139322.4313992546,246960.0,138980.98633985873,2400.6666666666665,0.5773502691896257,0.0,0.0,0.0,0.0,1.3842376893884503,0.10352677962271892,2.5694335666666657,0.35689338730854,0.0,0.0
16,60.0,3,3601.0,0.0,3601.0,0.0,3601.0,0.0,0.0,0.0,0.0,0.0,10.556940785668258,4.6673796081852394,335304.5642876979,134677.83035628198,335845.0,134564.41248710596,358948.0,135412.68200578555,365440.6666666667,136663.4865695052,3601.0,0.0,0.0,0.0,0.0,0.0,1.2152845994631114,0.016552598693394465,2.5065166666666667,0.048760046086251285,0.0,0.0
16,70.0,3,4200.666666666667,0.5773502691896257,4200.666666666667,0.5773502691896257,4200.666666666667,0.5773502691896257,0.0,0.0,0.0,0.0,17.76965151769342,0.18977864097770306,190149.5973013795,2275.2574808508366,190786.0,2828.776237173948,215049.0,1864.8294828214187,222063.0,1993.903708808427,4200.666666666667,0.5773502691896257,0.0,0.0,0.0,0.0,1.2487165530284754,0.04680183376337542,2.50932955,0.14720059661940033,0.0,0.0
16,80.0,3,4800.333333333333,0.5773502691896257,4800.333333333333,0.5773502691896257,4800.333333333333,0.5773502691896257,0.0,0.0,0.0,0.0,17.279634609293385,0.3414761482231928,223376.13672134277,2875.5676180974815,223740.66666666666,3285.5137091988117,252615.66666666666,6634.0782580049,258541.0,6056.490402865343,4800.333333333333,0.5773502691896257,0.0,0.0,0.0,0.0,1.3441147097653265,0.017469340654982433,2.8954377,0.04149181726907141,0.0,0.0
16,90.0,3,5401.0,0.0,5401.0,0.0,5401.0,0.0,0.0,0.0,0.0,0.0,16.74845135679885,0.3540626427961475,269246.9139665494,4622.306915130607,270705.6666666667,4654.000895287122,298407.0,3380.9352256439342,305682.3333333333,4827.064566932302,5401.0,0.0,0.0,0.0,0.0,0.0,1.3600134538048518,0.006311239339704408,2.9559623333333334,0.07161643259289951,0.0,0.0
