batch_id,batch_tag,node_count,target_rps,repeat,duration_s,batch_size,accepted,completed,succeeded,failed,inflight,completed_rps,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,k6_http_reqs,k6_http_req_failed_rate,k6_dropped_iterations,k6_http_req_duration_avg_ms,k6_http_req_duration_p95_ms,k6_http_req_duration_p99_ms
adapter-n4-rps2-rep1-1774507463651,node4-rps2-rep1,4,2,1,60,1,120,105,105,0,15,0.7509816402869465,107428.4,106251,134454,136726,120,0,0,4.401393391666667,5.30464815,0
adapter-n4-rps2-rep2-1774507827017,node4-rps2-rep2,4,2,2,60,1,121,121,121,0,0,2.0145178476291954,63.30578512396694,62,161,162,121,0,0,3.1228531239669435,4.331669,0
adapter-n4-rps2-rep3-1774507895295,node4-rps2-rep3,4,2,3,60,1,120,120,120,0,0,2.0160951596915373,45.875,26,150,247,120,0,0,2.7226000750000012,3.2185478499999998,0
adapter-n4-rps5-rep1-1774507963498,node4-rps5-rep1,4,5,1,60,1,301,301,301,0,0,5.015245680390556,34.388704318936874,22,137,142,301,0,0,2.523624561461796,3.26433,0
adapter-n4-rps5-rep2-1774508031693,node4-rps5-rep2,4,5,2,60,1,301,301,301,0,0,5.015245680390556,25.906976744186046,20,80,86,301,0,0,1.9733484219269113,2.385003,0
adapter-n4-rps5-rep3-1774508100003,node4-rps5-rep3,4,5,3,60,1,301,301,301,0,0,5.015412813463301,49.72093023255814,21,184,191,301,0,0,1.9386506279069777,2.418904,0
adapter-n4-rps10-rep1-1774508168429,node4-rps10-rep1,4,10,1,60,1,600,600,600,0,0,10.01401962747847,82.66666666666667,96,201,299,600,0,0,1.9670233816666645,2.5721045,0
adapter-n4-rps10-rep2-1774508236607,node4-rps10-rep2,4,10,2,60,1,601,601,601,0,0,10.013996267661957,28.97504159733777,18,132,142,601,0,0,1.7089118202995017,2.068249,0
adapter-n4-rps10-rep3-1774508304994,node4-rps10-rep3,4,10,3,60,1,601,601,601,0,0,3.519188654276312,127733.91347753744,135083,161387,163890,601,0,0,1.598099579034941,1.931906,0
adapter-n4-rps20-rep1-1774508483501,node4-rps20-rep1,4,20,1,60,1,1201,1201,1201,0,0,20.012330661689965,88.67110741049126,18,373,661,1201,0,0,1.555821476269776,1.860256,0
adapter-n4-rps20-rep2-1774508551971,node4-rps20-rep2,4,20,2,60,1,1201,1201,1201,0,0,8.682325214889357,86357.9900083264,96785,122230,124482,1201,0,0,1.42636248542881,1.748626,0
