batch_id,batch_tag,node_count,target_rps,repeat,duration_s,batch_size,accepted,completed,succeeded,failed,inflight,completed_rps,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,k6_http_reqs,k6_http_req_failed_rate,k6_dropped_iterations,k6_http_req_duration_avg_ms,k6_http_req_duration_p95_ms,k6_http_req_duration_p99_ms
adapter-n16-rps2-rep1-1774514646322,node16-rps2-rep1,16,2,1,60,1,120,120,120,0,0,0.34094783498124787,210558.90833333333,248949,321739,343137,120,0,0,5.967517383333333,6.02498645,0
adapter-n16-rps2-rep2-1774515005792,node16-rps2-rep2,16,2,2,60,1,121,121,121,0,0,2.0153566848215325,346.6363636363636,140,1144,2244,121,0,0,3.1712948595041306,4.181599,0
adapter-n16-rps2-rep3-1774515074160,node16-rps2-rep3,16,2,3,60,1,121,121,121,0,0,1.9930490355948676,439.57851239669424,211,1221,2213,121,0,0,2.970179661157025,4.010131,0
adapter-n16-rps5-rep1-1774515142420,node16-rps5-rep1,16,5,1,60,1,301,301,301,0,0,4.944639747675526,663.5215946843854,516,1607,2039,301,0,0,2.515064275747508,3.386804,0
adapter-n16-rps5-rep2-1774515210737,node16-rps5-rep2,16,5,2,60,1,300,300,300,0,0,4.932506864405386,659.12,468,1701,2136,300,0,0,2.0174376333333326,2.4490769500000016,0
adapter-n16-rps5-rep3-1774515279012,node16-rps5-rep3,16,5,3,60,1,301,301,301,0,0,4.92836676217765,687.641196013289,357,2067,3554,301,0,0,1.9251901860465113,2.338731,0
adapter-n16-rps10-rep1-1774515347479,node16-rps10-rep1,16,10,1,60,1,601,601,601,0,0,9.846002621231978,1074.7853577371047,744,3244,5538,601,0,0,1.8083131430948414,2.32,0
adapter-n16-rps10-rep2-1774515415932,node16-rps10-rep2,16,10,2,60,1,601,601,601,0,0,9.86264502683099,892.8951747088187,721,2226,3617,601,0,0,1.6821085657237937,2.010258,0
adapter-n16-rps10-rep3-1774515484640,node16-rps10-rep3,16,10,3,60,1,601,601,601,0,0,9.750953192179768,852.5707154742097,736,1933,2767,601,0,0,1.606869901830283,1.984186,0
adapter-n16-rps20-rep1-1774515555288,node16-rps20-rep1,16,20,1,60,1,1201,1201,1201,0,0,18.90207434920835,4899.594504579517,4157,11401,18458,1201,0,0,1.7006873463780183,2.512023,0
adapter-n16-rps20-rep2-1774515627949,node16-rps20-rep2,16,20,2,60,1,1201,1201,1201,0,0,18.199727231398697,7868.9716902581185,6545,18916,23294,1201,0,0,1.8138761248959219,3.32295,0
adapter-n16-rps20-rep3-1774515702898,node16-rps20-rep3,16,20,3,60,1,1200,1200,1200,0,0,17.590149516270888,9518.839166666667,8127,22177,25084,1200,0,0,1.2996063450000008,1.6759830500000001,0
adapter-n16-rps40-rep1-1774515779831,node16-rps40-rep1,16,40,1,60,1,2400,2400,2400,0,0,23.835771534129844,48371.7675,50339,70258,77711,2400,0,0,1.1455645316666663,1.7337072999999972,0
