time_bin_s,completed_rps_mean,completed_rps_std,window_success_rate_mean,window_success_rate_std,total_mean,total_std,right_mean,right_std,wrong_mean,wrong_std
0,0.6188599294936622,0.03992017018894578,0.7733333333333333,0.06463573143221775,6.2,0.4,4.2,0.7483314773547882,2,0.6324555320336759
10,0.9581712845123234,0.048980088343486786,0.74,0.1854723699099141,15.8,0.7483314773547883,11.8,1.9390719429665317,4,2.3664319132398464
20,1.017873783708996,0.03994722932482927,0.6866666666666666,0.10456258094238748,26,0.6324555320336759,19.4,2.727636339397171,6.6,3.2619012860600183
30,0.9976298715030275,6.490344412688751e-05,0.7466666666666667,0.11274356350191844,36,0.6324555320336759,27.4,2.870540018881465,8.6,3.3823069050575527
40,0.9973850048834959,0.00012080954863428468,0.8266666666666667,0.11623730516108464,46,0.6324555320336759,36.2,3.7629775444453557,9.8,4.214261501141095
50,0.937396597577415,0.11959856234696142,0.7,0.17888543819998318,55.4,1.3564659966250536,42.8,5.3814496188294845,12.6,5.462600113499065
60,0.8372591039746544,0.3189625242515916,0.78,0.13266499161421602,63.8,4.445222154178574,49.4,7.657675887630659,14.4,6.590902821313633
70,0.9370595069010486,0.11953071125689586,0.7457142857142857,0.13862296537952234,73.2,5.635601121442148,56.8,7.934733769950949,16.4,7.172168430816443
80,0.876972368588144,0.3475312183904908,0.7416666666666667,0.10929064207170003,82,5.0990195135927845,62.8,9.867117106835208,19.2,7.222188034107115
90,0.9563877013000623,0.29955341807356856,0.7457142857142857,0.04622728037909184,91.6,6.019966777316965,69.4,10.87382177525455,22.2,7.277362159464101
100,0.9961605497843695,0.00033163877312670614,0.7733333333333333,0.19224983745116664,101.6,6.019966777316965,76.6,13.124023773218335,25,9.444575162494075
110,0.9759605554084547,0.09723134794766063,0.84,0.08000000000000002,111.4,6.829348431585549,83.8,15.714961024450554,27.6,10.85541339608953
120,1.0753618701795318,0.11642872725886383,0.764,0.08708616422830899,122.2,6.013318551349164,92.2,15.484185480676729,30,11.610340218959994
130,1.015410392778722,0.0977472295472137,0.6866666666666666,0.16138291249213607,132.4,5.642694391866354,99.4,14.221111067704943,33,11.224972160321824
140,0.9753285983302261,0.0974280188981718,0.8426666666666667,0.11112355485874473,142.2,6.013318551349163,108,14.4083309234623,34.2,11.01635148313633
150,1.0348167628839746,0.04914628996397096,0.8093333333333333,0.02969474326842678,152.6,5.535341001239219,116.4,14.093970341958293,36.2,11.01635148313633
160,1.0545225402205054,0.07999948604421393,0.83,0.1318247995552346,163.2,4.749736834815167,125.4,14.051334456200237,37.8,11.178550889985697
170,1.0539776046753095,0.048507590729336914,0.7946666666666666,0.08958174417195108,173.8,4.915282290977803,134.2,13.876599006961325,39.6,11.217842929904126
180,0.6412879082830276,0.37276348710510504,0.8683333333333333,0.08171767114754176,180,1.5491933384829668,139.6,11.77454882362802,40.4,11.35957745693034
190,0.14916217051146516,0.14916217051146516,1.0,0.0,180.6,0.4898979485566356,144.2,9.867117106835208,36.4,10.209799214480176
200,0.0,0.0,1.0,0.0,180.6,0.4898979485566356,145,10.059821071967434,35.6,10.44222198576529
