time_bin_s,completed_rps_mean,completed_rps_std,window_success_rate_mean,window_success_rate_std,total_mean,total_std,right_mean,right_std,wrong_mean,wrong_std
0,0.3593289857315151,0.25721646835895257,0.8,0.10954451150103324,3.6,2.5768197453450252,2.4,2.0591260281974,1.2,0.9797958971132712
10,0.6788787822969446,0.27807220361085144,0.7533333333333334,0.12927146286443544,10.4,5.314132102234569,6,5.403702434442518,4.4,1.7435595774162693
20,0.8185562174784964,0.20360389539959423,0.7266666666666667,0.12719189352225943,18.6,5.4258639865002145,9.6,9.00222194794152,9,3.9496835316262997
30,0.7585905515346993,0.1619590457671102,0.7,0.17888543819998318,26.2,6.584831053261731,13.2,12.687001221722966,13,6.6332495807108
40,0.5988089648886494,0.33980022086032713,0.7866666666666666,0.1469693845669907,32.2,8.37615663654877,17,15.735310610216755,15.2,8.795453370918409
50,1.0378035352751782,0.1957178432604078,0.7669047619047619,0.13515003840109924,42.6,7.657675887630659,22.2,17.6,20.4,10.209799214480174
60,0.8178670293955591,0.24750767588396153,0.765,0.11836853936376471,50.8,7.547184905645283,26.8,19.84338680769994,24,12.569805089976535
70,0.5584201217795411,0.4659171673533516,0.8516666666666667,0.12784539273843407,56.4,11.001818031580054,31.4,22.312328430712917,25,12.0
80,0.997270760521967,0.1667604159094123,0.812,0.051536394906900505,66.4,11.038115781237304,35.4,24.475293665245367,31,13.899640283115243
90,0.638211651904116,0.5447151329715885,0.8414102564102564,0.15920558040166877,72.8,13.876599006961325,40,25.635912310662945,32.8,14.971973817770321
100,1.236448298788181,0.5736270520282373,0.7535555555555555,0.10684279440397179,85.2,10.759182125050213,44,27.597101297056543,41.2,16.96349020691202
110,0.7373115135780308,0.3863029507329354,0.8737142857142857,0.06992474088443307,92.6,12.93986089569745,48.4,29.830186053727523,44.2,17.55448660599335
120,0.6776317000598759,0.44293355548843827,0.8344102564102563,0.08891284358352926,99.4,13.410443691392167,52.6,31.556932677305632,46.8,18.454267799075637
130,1.2358626947171591,0.33732658728134474,0.7458547008547008,0.08436330403942889,111.8,12.781236246936365,56.8,32.65823020312031,55,20.228692493584454
140,0.6776337670137729,0.38545552320649584,0.876,0.07418894796396562,118.6,13.245376551838758,61.4,34.33132680220792,57.2,21.479292353334177
150,1.0561734280731894,0.1852013859728995,0.7483333333333333,0.08666666666666667,129.2,12.687001221722964,65.4,34.811492355255325,63.8,22.648620267027304
160,0.6173976535492292,0.5648853112786236,0.8313333333333334,0.14100591004162438,135.4,15.200000000000001,70,35.59213396243614,65.4,21.978170988505845
170,0.9762971207168907,0.7523820403955679,0.8543274853801169,0.07480224832929698,145.2,12.82809416865966,73.8,36.65187580465698,71.4,24.662522174343806
180,0.9961884198814273,0.5743134379897198,0.7973333333333333,0.11674092874585351,155.2,12.480384609458156,78.2,37.48813145516858,77,26.98888660171071
190,0.7171011667341798,0.9329982227432215,0.924,0.0932952303175248,162.4,10.209799214480176,82.6,39.28154783101093,79.8,29.955967685921948
200,0.6724360126813234,0.5782881453450817,0.8830128205128205,0.07574620566459965,167.8,9.173875952943773,86.4,37.728503813429974,81.4,31.232034836046143
210,0.9211815079039395,0.7093423523902643,0.8943452380952381,0.07609450335630745,175.2,2.4819347291981715,100,31.578473680657844,75.2,29.109448637856403
220,0.0,0.0,1.0,0.0,175.2,2.4819347291981715,114.6,24.77579463912308,60.6,22.339203208709122
230,0.0,0.0,1.0,0.0,175.2,2.4819347291981715,129.4,17.939899665271266,45.8,15.6
240,0.0,0.0,1.0,0.0,175.2,2.4819347291981715,139.2,11.08873302050329,36,8.67179335547152
250,0.0,0.0,1.0,0.0,175.2,2.4819347291981715,141.2,9.453041838477178,34,7.0710678118654755
