mode,metrics_mode,concurrency,duration,total_reqs,success_reqs,success_rate,start_block,end_block,gas_total,gas_per_req,cpu_seconds_delta,cpu_seconds_per_req,cnet_bytes_delta,cnet_bytes_per_req,average_time_ms,tps
SNSS,docker-cgroup,1,60s,1,1,1.0,375,377,1653180,1653180.0,1.76181,1.76181,276912.0,276912.0,321.0,3.115264797507788
SNSS,docker-cgroup,10,60s,10,10,1.0,377,396,15455366,1545536.6,8.664014,0.8664014,1296914.0,129691.4,1693.2,3.278688524590164
SNSS,docker-cgroup,20,60s,20,20,1.0,397,432,26605236,1330261.8,17.142044,0.8571022,2603947.0,130197.35,3744.2,1.9613611846621557
SNSS,docker-cgroup,30,60s,30,20,0.666667,438,481,31296778,1564838.9,20.362122,1.0181061,3114311.0,155715.55,7523.05,1.3843704575344362
SNSS,docker-cgroup,50,60s,45,29,0.644444,488,568,62552794,2156992.8966,33.587834,1.15820117,5910033.0,203794.2414,8600.758620689656,1.344397570812665
SNSS,docker-cgroup,100,60s,98,19,0.193878,574,700,86664560,4561292.6316,55.01985,2.89578158,12856271.0,676645.8421,30129.894736842107,0.5436959880959195
