mode,metrics_mode,metrics_services,gas_contracts,oracle_ready_policy,concurrency,duration,total_reqs,success_reqs,wrong_reqs,success_rate,start_block,end_block,gas_total,gas_per_req,cpu_seconds_delta,cpu_seconds_per_req,cnet_bytes_delta,cnet_bytes_per_req,average_time_ms,tps
SNSS,docker-cgroup,"cea,ganache,kafka,mysql,oracle-adapter,oracle-node,vrf,zookeeper","0x0165878a594ca255338adfa4d48449f69242eb8f,0x8a791620dd6260079bf849dc5567adc3f2fdc318,0xdc64a140aa3e981100a9beca4e685f962f0cf6c9",active,1,60s,1,1,0,1.0,610,612,1653180,1653180.0,45.198488,45.198488,34883959.0,34883959.0,627.0,1.594896331738437
SNSS,docker-cgroup,"cea,ganache,kafka,mysql,oracle-adapter,oracle-node,vrf,zookeeper","0x0165878a594ca255338adfa4d48449f69242eb8f,0x8a791620dd6260079bf849dc5567adc3f2fdc318,0xdc64a140aa3e981100a9beca4e685f962f0cf6c9",active,10,60s,10,10,0,1.0,612,632,16531788,1653178.8,59.448423,5.9448423,45319081.0,4531908.1,3238.9,1.2988699831146902
SNSS,docker-cgroup,"cea,ganache,kafka,mysql,oracle-adapter,oracle-node,vrf,zookeeper","0x0165878a594ca255338adfa4d48449f69242eb8f,0x8a791620dd6260079bf849dc5567adc3f2fdc318,0xdc64a140aa3e981100a9beca4e685f962f0cf6c9",active,20,60s,20,20,0,1.0,632,672,33063540,1653177.0,79.496161,3.97480805,63117892.0,3155894.6,7963.65,1.3621194578764557
SNSS,docker-cgroup,"cea,ganache,kafka,mysql,oracle-adapter,oracle-node,vrf,zookeeper","0x0165878a594ca255338adfa4d48449f69242eb8f,0x8a791620dd6260079bf849dc5567adc3f2fdc318,0xdc64a140aa3e981100a9beca4e685f962f0cf6c9",active,30,60s,30,30,0,1.0,672,732,49595328,1653177.6,99.143012,3.30476707,79856152.0,2661871.7333,13019.5,1.1291354586171856
SNSS,docker-cgroup,"cea,ganache,kafka,mysql,oracle-adapter,oracle-node,vrf,zookeeper","0x0165878a594ca255338adfa4d48449f69242eb8f,0x8a791620dd6260079bf849dc5567adc3f2fdc318,0xdc64a140aa3e981100a9beca4e685f962f0cf6c9",active,40,60s,40,40,0,1.0,732,812,66127044,1653176.1,113.906827,2.84767068,97354622.0,2433865.55,17827.85,1.048575248381262
SNSS,docker-cgroup,"cea,ganache,kafka,mysql,oracle-adapter,oracle-node,vrf,zookeeper","0x0165878a594ca255338adfa4d48449f69242eb8f,0x8a791620dd6260079bf849dc5567adc3f2fdc318,0xdc64a140aa3e981100a9beca4e685f962f0cf6c9",active,50,60s,50,50,0,1.0,812,913,82658880,1653177.6,139.674418,2.79348836,115797511.0,2315950.22,22635.06,1.1186433093943664
SNSS,docker-cgroup,"cea,ganache,kafka,mysql,oracle-adapter,oracle-node,vrf,zookeeper","0x0165878a594ca255338adfa4d48449f69242eb8f,0x8a791620dd6260079bf849dc5567adc3f2fdc318,0xdc64a140aa3e981100a9beca4e685f962f0cf6c9",active,100,60s,100,98,2,0.98,913,1113,163164868,1664947.6327,264.04262,2.69431245,217120184.0,2215512.0816,47959.0306122449,0.9911604668568077
