mode,metrics_mode,metrics_services,gas_contracts,oracle_ready_policy,concurrency,duration,total_reqs,success_reqs,wrong_reqs,success_rate,start_block,end_block,gas_total,gas_per_req,cpu_seconds_delta,cpu_seconds_per_req,cnet_bytes_delta,cnet_bytes_per_req,average_time_ms,tps
SNMS,docker-cgroup,"cea,ganache,kafka,mysql,oracle-adapter,oracle-node,vrf,zookeeper","0x0165878a594ca255338adfa4d48449f69242eb8f,0x8a791620dd6260079bf849dc5567adc3f2fdc318,0xdc64a140aa3e981100a9beca4e685f962f0cf6c9",active,1,60s,1,1,0,1.0,9068,9070,1816564,1816564.0,8.830473,8.830473,2162196.0,2162196.0,673.0,1.4858841010401187
SNMS,docker-cgroup,"cea,ganache,kafka,mysql,oracle-adapter,oracle-node,vrf,zookeeper","0x0165878a594ca255338adfa4d48449f69242eb8f,0x8a791620dd6260079bf849dc5567adc3f2fdc318,0xdc64a140aa3e981100a9beca4e685f962f0cf6c9",active,10,60s,10,10,0,1.0,9070,9090,18165604,1816560.4,35.047463,3.5047463,4533659.0,453365.9,3538.5,0.9994003597841296
SNMS,docker-cgroup,"cea,ganache,kafka,mysql,oracle-adapter,oracle-node,vrf,zookeeper","0x0165878a594ca255338adfa4d48449f69242eb8f,0x8a791620dd6260079bf849dc5567adc3f2fdc318,0xdc64a140aa3e981100a9beca4e685f962f0cf6c9",active,20,60s,20,20,0,1.0,9090,9130,36331184,1816559.2,80.183369,4.00916845,9682041.0,484102.05,16847.95,0.623558022073954
SNMS,docker-cgroup,"cea,ganache,kafka,mysql,oracle-adapter,oracle-node,vrf,zookeeper","0x0165878a594ca255338adfa4d48449f69242eb8f,0x8a791620dd6260079bf849dc5567adc3f2fdc318,0xdc64a140aa3e981100a9beca4e685f962f0cf6c9",active,30,60s,30,29,1,0.966667,9130,9190,53420402,1842082.8276,117.345573,4.04639907,14497575.0,499916.3793,26206.241379310344,0.5882472261100631
SNMS,docker-cgroup,"cea,ganache,kafka,mysql,oracle-adapter,oracle-node,vrf,zookeeper","0x0165878a594ca255338adfa4d48449f69242eb8f,0x8a791620dd6260079bf849dc5567adc3f2fdc318,0xdc64a140aa3e981100a9beca4e685f962f0cf6c9",active,40,60s,40,39,1,0.975,9190,9269,71586030,1835539.2308,148.414993,3.80551264,19791274.0,507468.5641,35157.8717948718,0.5653484866055898
SNMS,docker-cgroup,"cea,ganache,kafka,mysql,oracle-adapter,oracle-node,vrf,zookeeper","0x0165878a594ca255338adfa4d48449f69242eb8f,0x8a791620dd6260079bf849dc5567adc3f2fdc318,0xdc64a140aa3e981100a9beca4e685f962f0cf6c9",active,50,60s,44,44,0,1.0,9269,9357,79928720,1816561.8182,166.02728,3.77334727,22456573.0,510376.6591,33963.88636363636,0.5694023863136372
SNMS,docker-cgroup,"cea,ganache,kafka,mysql,oracle-adapter,oracle-node,vrf,zookeeper","0x0165878a594ca255338adfa4d48449f69242eb8f,0x8a791620dd6260079bf849dc5567adc3f2fdc318,0xdc64a140aa3e981100a9beca4e685f962f0cf6c9",active,100,60s,95,94,1,0.989474,9357,9547,171496834,1824434.4043,343.883929,3.65833967,61280285.0,651917.9255,84232.82978723405,0.5431736364319271
