batch_id,batch_tag,node_count,target_rps,repeat,duration_s,batch_size,accepted,completed,succeeded,failed,inflight,completed_rps,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,k6_http_reqs,k6_http_req_failed_rate,k6_dropped_iterations,k6_http_req_duration_avg_ms,k6_http_req_duration_p95_ms,k6_http_req_duration_p99_ms
adapter-n24-rps1-rep1-1774529592802,node24-rps1-rep1,24,1,1,60,1,61,61,61,0,0,0.4033804605150044,118290.86885245901,118565,146431,148355,61,0,0,5.484217147540984,6.493792,0
adapter-n24-rps1-rep2-1774529751819,node24-rps1-rep2,24,1,2,60,1,61,61,61,0,0,1.0029925351047386,608.672131147541,323,2417,2720,61,0,0,3.7305929508196702,5.580064,0
adapter-n24-rps1-rep3-1774529820237,node24-rps1-rep3,24,1,3,60,1,60,60,60,0,0,0.997688687873094,401.68333333333334,237,1147,2088,60,0,0,3.4805227000000003,4.4814359999999995,0
adapter-n24-rps2-rep1-1774529889028,node24-rps2-rep1,24,2,1,60,1,121,121,121,0,0,1.9825665224800104,444.41322314049586,199,1291,2696,121,0,0,3.2169053471074367,4.344124,0
adapter-n24-rps2-rep2-1774529959312,node24-rps2-rep2,24,2,2,60,1,120,120,120,0,0,1.9986009793144799,565.8333333333334,244,2064,3575,120,0,0,2.9249956166666657,3.8218619499999997,0
adapter-n24-rps2-rep3-1774530029082,node24-rps2-rep3,24,2,3,60,1,120,120,120,0,0,1.9952114924181963,612.3083333333333,250,2041,2550,120,0,0,2.719317408333335,3.4556025,0
adapter-n24-rps5-rep1-1774530098263,node24-rps5-rep1,24,5,1,60,1,301,301,301,0,0,4.944233643785213,921.8671096345515,743,2084,3402,301,0,0,2.4322225980066428,3.469245,0
adapter-n24-rps5-rep2-1774530166907,node24-rps5-rep2,24,5,2,60,1,301,301,301,0,0,4.9696209219389775,1047.029900332226,879,2172,3516,301,0,0,1.919281212624586,2.235538,0
adapter-n24-rps5-rep3-1774530235487,node24-rps5-rep3,24,5,3,60,1,301,301,301,0,0,4.9593040498237055,926.8970099667774,686,2182,3781,301,0,0,1.8486793887043194,2.151566,0
adapter-n24-rps10-rep1-1774530305007,node24-rps10-rep1,24,10,1,60,1,601,601,601,0,0,9.8408435944459,2649.1464226289518,2180,6645,9438,601,0,0,1.8871785391014984,2.597586,0
adapter-n24-rps10-rep2-1774530375770,node24-rps10-rep2,24,10,2,60,1,600,600,600,0,0,9.870693909781858,1469.39,1387,3044,4345,600,0,0,1.773431924999999,2.5023289499999968,0
adapter-n24-rps10-rep3-1774530444462,node24-rps10-rep3,24,10,3,60,1,601,601,601,0,0,9.730429855095927,1401.8319467554077,1364,3204,3888,601,0,0,1.634442730449252,2.019615,0
adapter-n24-rps20-rep1-1774530515119,node24-rps20-rep1,24,20,1,60,1,1200,1200,1200,0,0,17.749116241920454,10869.168333333333,9778,21726,40575,1200,0,0,1.5685014574999983,2.02077775,0
adapter-n24-rps20-rep2-1774530591829,node24-rps20-rep2,24,20,2,60,1,1200,1200,1200,0,0,15.057028495426428,30371.393333333333,30016,53159,60314,1200,0,0,2.416742591666663,7.244011599999998,0
adapter-n24-rps20-rep3-1774530679113,node24-rps20-rep3,24,20,3,60,1,1201,1201,1201,0,0,15.970744680851064,16641.03164029975,16363,32668,38097,1201,0,0,2.2320541582014983,6.650689,0
adapter-n24-rps40-rep1-1774530762827,node24-rps40-rep1,24,40,1,60,1,2401,2401,2401,0,0,20.09305906572715,75981.71261974177,77153,98426,103956,2401,0,0,1.3222352498958783,2.299435,0
adapter-n24-rps40-rep2-1774530890260,node24-rps40-rep2,24,40,2,60,1,2401,2401,2401,0,0,21.97088240407756,62216.923365264476,62797,83843,91780,2401,0,0,1.2306792769679287,1.955795,0
adapter-n24-rps40-rep3-1774531008954,node24-rps40-rep3,24,40,3,60,1,2401,2401,2401,0,0,23.501889156437816,54644.02582257393,55815,78037,82635,2401,0,0,1.1678075764264908,1.776822,0
adapter-n24-rps60-rep1-1774531119085,node24-rps60-rep1,24,60,1,60,1,3600,3600,3600,0,0,26.446669556210193,92457.78055555555,92824,114325,120392,3600,0,0,1.2602907227777782,2.395885499999998,0
adapter-n24-rps60-rep2-1774531263029,node24-rps60-rep2,24,60,2,60,1,3601,3601,3601,0,0,25.688767138923367,87723.98778117189,88841,110188,120908,3601,0,0,1.2937294140516455,2.426306,0
adapter-n24-rps60-rep3-1774531412505,node24-rps60-rep3,24,60,3,60,1,3600,3600,3600,0,0,26.90120532344963,87292.60722222223,87171,111357,116018,3600,0,0,1.1515809663888892,1.8751934999999982,0
adapter-n24-rps70-rep1-1774531554100,node24-rps70-rep1,24,70,1,60,1,4201,4201,4201,0,0,28.053422370617696,102169.78647940967,102689,124308,131644,4201,0,0,1.20127631682933,2.203312,0
adapter-n24-rps70-rep2-1774531712832,node24-rps70-rep2,24,70,2,60,1,4200,4200,4200,0,0,28.432746400211215,100088.0719047619,100545,122964,128390,4200,0,0,1.1610370783333328,2.0682627499999997,0
adapter-n24-rps70-rep3-1774531869585,node24-rps70-rep3,24,70,3,60,1,4200,4200,4200,0,0,28.82477283333791,98631.01857142858,99092,123047,128643,4200,0,0,1.318171017857145,2.6872754,0
adapter-n24-rps80-rep1-1774532024687,node24-rps80-rep1,24,80,1,60,1,4801,4801,4801,0,0,28.54883212026069,120527.89398042075,120722,143944,151753,4801,0,0,1.3451170172880684,2.801164,0
adapter-n24-rps80-rep2-1774532200815,node24-rps80-rep2,24,80,2,60,1,4801,4801,4801,0,0,28.805596721645898,120184.43095188502,121107,146796,152229,4801,0,0,1.2127347746302857,2.362337,0
