mode,metrics_mode,metrics_services,gas_contracts,oracle_ready_policy,concurrency,duration,total_reqs,success_reqs,wrong_reqs,success_rate,start_block,end_block,gas_total,gas_per_req,cpu_seconds_delta,cpu_seconds_per_req,cnet_bytes_delta,cnet_bytes_per_req,average_time_ms,tps
MNMS,docker-cgroup,"cea,ganache,kafka,mysql,oracle-adapter,oracle-node,vrf,zookeeper","0x0b306bf915c4d645ff596e518faf3f9669b97016,0x0dcd1bf9a1b36ce34237eeafef220932846bcd82,0x3aa5ebb10dc797cac828524e59a333d0a371443c",active,1,60s,1,0,1,0.0,408,409,740178,0.0,37.36362,0.0,10459547.0,0.0,,0.0
MNMS,docker-cgroup,"cea,ganache,kafka,mysql,oracle-adapter,oracle-node,vrf,zookeeper","0x0b306bf915c4d645ff596e518faf3f9669b97016,0x0dcd1bf9a1b36ce34237eeafef220932846bcd82,0x3aa5ebb10dc797cac828524e59a333d0a371443c",active,10,60s,10,8,2,0.8,409,427,16012844,2001605.5,51.031143,6.37889288,35593761.0,4449220.125,2082.0,2.2573363431151243
MNMS,docker-cgroup,"cea,ganache,kafka,mysql,oracle-adapter,oracle-node,vrf,zookeeper","0x0b306bf915c4d645ff596e518faf3f9669b97016,0x0dcd1bf9a1b36ce34237eeafef220932846bcd82,0x3aa5ebb10dc797cac828524e59a333d0a371443c",active,20,60s,20,9,11,0.45,427,456,24490974,2721219.3333,57.690166,6.41001844,44842451.0,4982494.5556,3773.6666666666665,1.384402399630826
MNMS,docker-cgroup,"cea,ganache,kafka,mysql,oracle-adapter,oracle-node,vrf,zookeeper","0x0b306bf915c4d645ff596e518faf3f9669b97016,0x0dcd1bf9a1b36ce34237eeafef220932846bcd82,0x3aa5ebb10dc797cac828524e59a333d0a371443c",active,30,60s,30,15,15,0.5,456,502,38351058,2556737.2,99.377762,6.62518413,69701687.0,4646779.1333,8753.8,0.8091051297265224
MNMS,docker-cgroup,"cea,ganache,kafka,mysql,oracle-adapter,oracle-node,vrf,zookeeper","0x0b306bf915c4d645ff596e518faf3f9669b97016,0x0dcd1bf9a1b36ce34237eeafef220932846bcd82,0x3aa5ebb10dc797cac828524e59a333d0a371443c",active,40,60s,39,21,18,0.538462,502,562,51470988,2450999.4286,98.40284,4.68584952,90473363.0,4308255.381,10415.380952380952,0.8421559191530318
MNMS,docker-cgroup,"cea,ganache,kafka,mysql,oracle-adapter,oracle-node,vrf,zookeeper","0x0b306bf915c4d645ff596e518faf3f9669b97016,0x0dcd1bf9a1b36ce34237eeafef220932846bcd82,0x3aa5ebb10dc797cac828524e59a333d0a371443c",active,50,60s,41,23,18,0.560976,562,627,55104056,2395828.5217,105.210307,4.57436117,94423272.0,4105359.6522,10888.521739130434,0.9520261600231799
MNMS,docker-cgroup,"cea,ganache,kafka,mysql,oracle-adapter,oracle-node,vrf,zookeeper","0x0b306bf915c4d645ff596e518faf3f9669b97016,0x0dcd1bf9a1b36ce34237eeafef220932846bcd82,0x3aa5ebb10dc797cac828524e59a333d0a371443c",active,100,60s,100,48,52,0.48,627,775,125684112,2618419.0,176.889831,3.68520481,194410409.0,4050216.8542,29577.354166666668,0.8051934980625032
