mode,metrics_mode,metrics_services,gas_contracts,oracle_ready_policy,concurrency,duration,total_reqs,success_reqs,wrong_reqs,success_rate,start_block,end_block,gas_total,gas_per_req,cpu_seconds_delta,cpu_seconds_per_req,cnet_bytes_delta,cnet_bytes_per_req,average_time_ms,tps
MNMS,docker-cgroup,"cea,ganache,kafka,mysql,oracle-adapter,oracle-node,vrf,zookeeper","0x0b306bf915c4d645ff596e518faf3f9669b97016,0x0dcd1bf9a1b36ce34237eeafef220932846bcd82,0x3aa5ebb10dc797cac828524e59a333d0a371443c",active,1,60s,1,1,0,1.0,2214,2216,1816540,1816540.0,25.101696,25.101696,12590722.0,12590722.0,373.0,2.680965147453083
MNMS,docker-cgroup,"cea,ganache,kafka,mysql,oracle-adapter,oracle-node,vrf,zookeeper","0x0b306bf915c4d645ff596e518faf3f9669b97016,0x0dcd1bf9a1b36ce34237eeafef220932846bcd82,0x3aa5ebb10dc797cac828524e59a333d0a371443c",active,10,60s,10,6,4,0.6,2216,2232,13860084,2310014.0,38.210129,6.36835483,30641751.0,5106958.5,1848.3333333333333,0.8449514152936206
MNMS,docker-cgroup,"cea,ganache,kafka,mysql,oracle-adapter,oracle-node,vrf,zookeeper","0x0b306bf915c4d645ff596e518faf3f9669b97016,0x0dcd1bf9a1b36ce34237eeafef220932846bcd82,0x3aa5ebb10dc797cac828524e59a333d0a371443c",active,20,60s,20,13,7,0.65,2232,2265,28796470,2215113.0769,68.583925,5.27568654,58422389.0,4494029.9231,5566.692307692308,1.0049474335188622
MNMS,docker-cgroup,"cea,ganache,kafka,mysql,oracle-adapter,oracle-node,vrf,zookeeper","0x0b306bf915c4d645ff596e518faf3f9669b97016,0x0dcd1bf9a1b36ce34237eeafef220932846bcd82,0x3aa5ebb10dc797cac828524e59a333d0a371443c",active,30,60s,30,21,9,0.7,2265,2316,44809434,2133782.5714,95.581261,4.55148862,87644498.0,4173547.5238,9174.47619047619,1.0837590958352687
MNMS,docker-cgroup,"cea,ganache,kafka,mysql,oracle-adapter,oracle-node,vrf,zookeeper","0x0b306bf915c4d645ff596e518faf3f9669b97016,0x0dcd1bf9a1b36ce34237eeafef220932846bcd82,0x3aa5ebb10dc797cac828524e59a333d0a371443c",active,40,60s,40,18,22,0.45,2316,2375,48982008,2721222.6667,100.575479,5.58752661,87859582.0,4881087.8889,11484.055555555555,0.7067415289175075
MNMS,docker-cgroup,"cea,ganache,kafka,mysql,oracle-adapter,oracle-node,vrf,zookeeper","0x0b306bf915c4d645ff596e518faf3f9669b97016,0x0dcd1bf9a1b36ce34237eeafef220932846bcd82,0x3aa5ebb10dc797cac828524e59a333d0a371443c",active,50,60s,50,22,28,0.44,2375,2447,60689344,2758606.5455,104.372201,4.74419095,98399553.0,4472706.9545,15279.954545454546,0.7297575214780907
MNMS,docker-cgroup,"cea,ganache,kafka,mysql,oracle-adapter,oracle-node,vrf,zookeeper","0x0b306bf915c4d645ff596e518faf3f9669b97016,0x0dcd1bf9a1b36ce34237eeafef220932846bcd82,0x3aa5ebb10dc797cac828524e59a333d0a371443c",active,100,60s,74,39,35,0.527027,2447,2560,96752034,2480821.3846,157.58486,4.04063744,162694809.0,4171661.7692,22951.4358974359,0.7336895176461735
