batch_id,batch_tag,node_count,target_rps,repeat,duration_s,batch_size,accepted,completed,succeeded,failed,inflight,completed_rps,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,k6_http_reqs,k6_http_req_failed_rate,k6_dropped_iterations,k6_http_req_duration_avg_ms,k6_http_req_duration_p95_ms,k6_http_req_duration_p99_ms
adapter-n8-rps2-rep1-1774511929344,node8-rps2-rep1,8,2,1,60,1,120,120,120,0,0,0.7988390206233608,117042.53333333334,116558,144067,145562,120,0,0,4.797275049999999,5.864325499999997,0
adapter-n8-rps2-rep2-1774512087854,node8-rps2-rep2,8,2,2,60,1,121,121,121,0,0,2.014719104865297,115.74380165289256,119,227,1119,121,0,0,3.3220214793388445,4.511041,0
adapter-n8-rps2-rep3-1774512156456,node8-rps2-rep3,8,2,3,60,1,120,120,120,0,0,2.0118025751072963,90.075,50,245,951,120,0,0,2.949068366666667,3.78135765,0
adapter-n8-rps5-rep1-1774512224793,node8-rps5-rep1,8,5,1,60,1,300,300,300,0,0,5.014961301215292,107.43666666666667,60,453,1162,300,0,0,2.5567806033333333,3.3331857000000005,0
adapter-n8-rps5-rep2-1774512293103,node8-rps5-rep2,8,5,2,60,1,301,301,301,0,0,4.994027077249801,130.31229235880397,30,719,1075,301,0,0,2.1468794617940192,2.838604,0
adapter-n8-rps5-rep3-1774512361340,node8-rps5-rep3,8,5,3,60,1,301,301,301,0,0,5.006403539410875,103.27574750830564,25,657,1077,301,0,0,1.9762166843853815,2.359,0
adapter-n8-rps10-rep1-1774512429932,node8-rps10-rep1,8,10,1,60,1,600,600,600,0,0,9.843811523822025,183.69166666666666,53,942,1444,600,0,0,1.8029138799999984,2.1648883999999997,0
adapter-n8-rps10-rep2-1774512498498,node8-rps10-rep2,8,10,2,60,1,601,601,601,0,0,10.013662567896297,150.53910149750416,23,967,1272,601,0,0,1.6959626322795336,2.056651,0
adapter-n8-rps10-rep3-1774512566920,node8-rps10-rep3,8,10,3,60,1,600,600,600,0,0,9.92867898926048,168.28,106,889,1507,600,0,0,1.6631064050000008,1.9959957499999996,0
adapter-n8-rps20-rep1-1774512635311,node8-rps20-rep1,8,20,1,60,1,1201,1201,1201,0,0,19.791700998648693,722.5395503746878,481,2174,3278,1201,0,0,1.571427667776854,2.010764,0
adapter-n8-rps20-rep2-1774512703861,node8-rps20-rep2,8,20,2,60,1,1201,1201,1201,0,0,19.287285808347654,1335.6128226477936,769,4568,6818,1201,0,0,1.4666095378850939,1.80797,0
adapter-n8-rps20-rep3-1774512774549,node8-rps20-rep3,8,20,3,60,1,1201,1201,1201,0,0,19.475886225797037,1355.497085761865,1044,3977,5539,1201,0,0,1.295017514571189,1.60615,0
adapter-n8-rps40-rep1-1774512845147,node8-rps40-rep1,8,40,1,60,1,2401,2401,2401,0,0,28.893595513730777,29409.755102040817,29923,52827,58328,2401,0,0,1.190747466472304,1.785066,0
adapter-n8-rps40-rep2-1774512936608,node8-rps40-rep2,8,40,2,60,1,2400,2400,2400,0,0,30.371673352653094,25787.83375,26635,37231,44712,2400,0,0,1.204612814166665,2.10160665,0
adapter-n8-rps40-rep3-1774513023408,node8-rps40-rep3,8,40,3,60,1,2401,2401,2401,0,0,33.03385936188655,14860.231570179092,13664,28857,37468,2401,0,0,1.0578529600166566,1.382546,0
adapter-n8-rps60-rep1-1774513104327,node8-rps60-rep1,8,60,1,60,1,3601,3601,3601,0,0,40.82488719588237,34796.61288530964,36687,56480,62397,3601,0,0,1.1240915056928646,1.964297,0
adapter-n8-rps60-rep2-1774513201377,node8-rps60-rep2,8,60,2,60,1,3601,3601,3601,0,0,43.6421369012992,32296.23882254929,33213,48618,52917,3601,0,0,1.080842097472924,1.584871,0
adapter-n8-rps60-rep3-1774513292341,node8-rps60-rep3,8,60,3,60,1,3600,3600,3600,0,0,40.26890681103816,37160.02055555556,38120,57195,67344,3600,0,0,0.987344589166667,1.4331922499999996,0
adapter-n8-rps70-rep1-1774513389254,node8-rps70-rep1,8,70,1,60,1,4201,4201,4201,0,0,45.77599075980953,39862.745298738395,42453,57556,60629,4201,0,0,0.9950874334682209,1.482396,0
adapter-n8-rps70-rep2-1774513490287,node8-rps70-rep2,8,70,2,60,1,4201,4201,4201,0,0,46.05501167545523,39926.661509164485,41260,57534,68733,4201,0,0,1.058992046655556,1.660845,0
