metric,count,mean_ms,median_ms,p95_ms,min_ms,max_ms,stdev_ms
total_e2e_ms,1.0,10967.0,10967.0,10967.0,10967.0,10967.0,0.0
adapter_publish_ms,1.0,305.0,305.0,305.0,305.0,305.0,0.0
adapter_wait_reply_ms,1.0,10198.0,10198.0,10198.0,10198.0,10198.0,0.0
adapter_async_ms,1.0,454.0,454.0,454.0,454.0,454.0,0.0
adapter_chain_submit_ms,1.0,345.0,345.0,345.0,345.0,345.0,0.0
adapter_db_save_ms,1.0,16.0,16.0,16.0,16.0,16.0,0.0
leader_verify_ms,1.0,3.0,3.0,3.0,3.0,3.0,0.0
leader_election_msg_build_ms,1.0,298.0,298.0,298.0,298.0,298.0,0.0
leader_election_kafka_send_ms,1.0,905.0,905.0,905.0,905.0,905.0,0.0
leader_election_total_ms,1.0,1205.0,1205.0,1205.0,1205.0,1205.0,0.0
leader_reply_to_setup_wait_ms,1.0,795.0,795.0,795.0,795.0,795.0,0.0
leader_setup_invoke_ms,1.0,1793.0,1793.0,1793.0,1793.0,1793.0,0.0
leader_pre_consensus_ms,1.0,3409.0,3409.0,3409.0,3409.0,3409.0,0.0
leader_init_ms,1.0,89.0,89.0,89.0,89.0,89.0,0.0
leader_broadcast_send_ms,1.0,295.0,295.0,295.0,295.0,295.0,0.0
leader_consensus_total_ms,1.0,6597.0,6597.0,6597.0,6597.0,6597.0,0.0
leader_es_queue_before_http_ms,1.0,4000.0,4000.0,4000.0,4000.0,4000.0,0.0
leader_es_http_ms,1.0,504.0,504.0,504.0,504.0,504.0,0.0
leader_es_body_read_ms,1.0,6.0,6.0,6.0,6.0,6.0,0.0
leader_es_json_parse_ms,1.0,2.0,2.0,2.0,2.0,2.0,0.0
leader_es_finalize_ms,1.0,86.0,86.0,86.0,86.0,86.0,0.0
leader_es_total_ms,1.0,4598.0,4598.0,4598.0,4598.0,4598.0,0.0
leader_reply_after_es_ms,1.0,101.0,101.0,101.0,101.0,101.0,0.0
leader_wait_threshold_ms,1.0,6201.0,6201.0,6201.0,6201.0,6201.0,0.0
leader_aggregate_ms,1.0,2.0,2.0,2.0,2.0,2.0,0.0
leader_agg_broadcast_roundtrip_ms,1.0,7.0,7.0,7.0,7.0,7.0,0.0
leader_commit_build_send_ms,1.0,89.0,89.0,89.0,89.0,89.0,0.0
leader_commit_wait_ms,1.0,1.0,1.0,1.0,1.0,1.0,0.0
leader_reply_kafka_ms,1.0,105.0,105.0,105.0,105.0,105.0,0.0
leader_post_threshold_ms,1.0,396.0,396.0,396.0,396.0,396.0,0.0
all_nodes_es_total_avg_ms,1.0,4598.0,4598.0,4598.0,4598.0,4598.0,0.0
all_nodes_es_total_min_ms,1.0,4598.0,4598.0,4598.0,4598.0,4598.0,0.0
all_nodes_es_total_max_ms,1.0,4598.0,4598.0,4598.0,4598.0,4598.0,0.0
all_nodes_es_queue_avg_ms,1.0,4000.0,4000.0,4000.0,4000.0,4000.0,0.0
all_nodes_es_http_avg_ms,1.0,504.0,504.0,504.0,504.0,504.0,0.0
worker_node_count,1.0,1.0,1.0,1.0,1.0,1.0,0.0
