mode,fault_type,short_label,runs,record_failure_rate_mean,record_failure_rate_std,http_req_duration_p95_ms_mean,http_req_duration_p95_ms_std,throughput_drop_ratio_mean,throughput_drop_ratio_std,mttr_records_based_s_mean,mttr_records_based_s_std,mttr_non_null_runs
MNSS,baseline,MNSS-B,5,0.0,0.0,2481.41293512,1810.3619405735285,0.004100325203905588,0.006770427214028271,61.61576066017151,1.6026759715614018,5
MNSS,leader_crash,MNSS-L,5,0.19699815837937384,0.057425343111534875,5041.90773877,4788.086280830966,0.06209421496335382,0.12315934937293081,78.04250907897949,14.630377831628623,5
MNSS,nonleader_crash,MNSS-NL,5,0.18280540208717005,0.043936694137596925,7030.04291664,4646.257000168552,0.06920910197200407,0.06982593697415501,70.40985126495362,9.241639485723864,5
MNMS,baseline,MNMS-B,5,0.0,0.0,24102.31882755,1749.8970720385576,0.06329413174083211,0.05878380383936052,150.21860879659653,2.5947739815098285,4
MNMS,leader_crash,MNMS-L,5,0.19463225667650622,0.04212767830123268,23252.79165326,8308.341672265527,0.03043333402910969,0.05435611190790661,124.54201626777649,39.705873595071324,3
MNMS,nonleader_crash,MNMS-NL,5,0.19034714407452932,0.02675092417051533,23106.979655209998,2405.7750308244313,0.03084481077601338,0.039635197131219914,129.58669006824493,32.06237126011741,4
MNMS,bad_es,MNMS-ES,5,0.0,0.0,25733.11383317,2620.9640132786258,0.09242402439601415,0.1010895148788913,,,0
